gene set	gene
H+	AC5u0009GL001663
H+	AC5u0009GL001664
H+	AC5u0009GL001758
H+	AC5u0009GL001759
H+	AC5u0009GL001762
H+	AC5u0009GL001764
H+	AC5u0009GL001905
H+	AC5u0009GL002057
5,10-Methenyltetrahydrofolate	AC5u0009GL000018
5,10-Methenyltetrahydrofolate	AC5u0009GL000036
5,10-Methenyltetrahydrofolate	AC5u0009GL000116
5,10-Methenyltetrahydrofolate	AC5u0009GL000065
Phosphate	AC5u0009GL000018
Phosphate	AC5u0009GL000026
Phosphate	AC5u0009GL000057
Phosphate	AC5u0009GL000096
Phosphate	AC5u0009GL000102
Phosphate	AC5u0009GL000103
Phosphate	AC5u0009GL000104
Phosphate	AC5u0009GL000105
Phosphate	AC5u0009GL000106
Phosphate	AC5u0009GL000107
Phosphate	AC5u0009GL000108
Phosphate	AC5u0009GL000110
Phosphate	AC5u0009GL000121
Phosphate	AC5u0009GL000138
Phosphate	AC5u0009GL000144
Phosphate	AC5u0009GL000164
Phosphate	AC5u0009GL000165
Phosphate	AC5u0009GL000222
Phosphate	AC5u0009GL000223
Phosphate	AC5u0009GL000224
Phosphate	AC5u0009GL000226
Phosphate	AC5u0009GL000316
Phosphate	AC5u0009GL000317
Phosphate	AC5u0009GL000318
Phosphate	AC5u0009GL000325
Phosphate	AC5u0009GL000329
Phosphate	AC5u0009GL000330
Phosphate	AC5u0009GL000331
Phosphate	AC5u0009GL000352
Phosphate	AC5u0009GL000365
Phosphate	AC5u0009GL000367
Phosphate	AC5u0009GL000368
Phosphate	AC5u0009GL000370
Phosphate	AC5u0009GL000371
Phosphate	AC5u0009GL000394
Phosphate	AC5u0009GL000401
Phosphate	AC5u0009GL000408
Phosphate	AC5u0009GL000571
Phosphate	AC5u0009GL000586
Phosphate	AC5u0009GL000587
Phosphate	AC5u0009GL000588
Phosphate	AC5u0009GL000600
Phosphate	AC5u0009GL000612
Phosphate	AC5u0009GL000613
Phosphate	AC5u0009GL000614
Phosphate	AC5u0009GL000667
