gene set	gene
Alanyl-tRNA synthetase	AC5u0009GL000651
Alanyl-tRNA synthetase	AC5u0009GL002145
Aminopropanol dehydrogenase reversible	AC5u0009GL001480
Ap4A synthetase	AC5u0009GL000390
Arginine deiminase	AC5u0009GL000127
Arginine/ornithine antiporter	AC5u0009GL000124
Arginine/ornithine antiporter	AC5u0009GL000125
Arginine/ornithine antiporter	AC5u0009GL001158
Arginine/ornithine antiporter	AC5u0009GL001437
Arginine/ornithine antiporter	AC5u0009GL001438
Arginine/ornithine antiporter	AC5u0009GL001484
Arginyl-tRNA synthetase	AC5u0009GL000842
Arginyl-tRNA synthetase	AC5u0009GL001073
Aromatic amino acid aminotransferase phenylalanine	AC5u0009GL000055
Aromatic amino acid aminotransferase phenylalanine	AC5u0009GL000419
Aromatic amino acid aminotransferase phenylalanine	AC5u0009GL001361
Aromatic amino acid aminotransferase phenylalanine	AC5u0009GL001591
Aromatic amino acid aminotransferase tryptophan	AC5u0009GL000055
Aromatic amino acid aminotransferase tryptophan	AC5u0009GL000419
Aromatic amino acid aminotransferase tryptophan	AC5u0009GL001361
Aromatic amino acid aminotransferase tryptophan	AC5u0009GL001591
Aromatic amino acid aminotransferase tyrosine	AC5u0009GL000055
Aromatic amino acid aminotransferase tyrosine	AC5u0009GL000419
Aromatic amino acid aminotransferase tyrosine	AC5u0009GL001361
Aromatic amino acid aminotransferase tyrosine	AC5u0009GL001591
Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	AC5u0009GL000329
Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	AC5u0009GL000330
Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	AC5u0009GL000331
Asparaginyl-tRNA synthetase	AC5u0009GL000453
Aspartyl-tRNA synthetase	AC5u0009GL000166
Beta-ketoacyl-ACP synthase	AC5u0009GL000227
Biotin-(acetyl-CoA carboxylase) ligase	AC5u0009GL001601
Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase	AC5u0009GL000221
Butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]C-acyltransferase (decarboxylating)	AC5u0009GL000227
CDP-Diacylglycerol synthetase (LRE specific)	AC5u0009GL000196
CPS synthase complex, LRE specific	AC5u0009GL001152
CPS synthase complex, LRE specific	AC5u0009GL001282
CPS synthase complex, LRE specific	AC5u0009GL001425
CPS synthase complex, LRE specific	AC5u0009GL001426
CPS synthase complex, LRE specific	AC5u0009GL001454
CPS synthase complex, LRE specific	AC5u0009GL001791
CPS synthase complex, LRE specific	AC5u0009GL001937
CTP synthase (NH3)	AC5u0009GL000571
CTP synthase (NH3)	AC5u0009GL000351
CTP synthase (glutamine)	AC5u0009GL000367
CTP synthase (glutamine)	AC5u0009GL000571
CTP synthase (glutamine)	AC5u0009GL000351
Carbamate kinase	AC5u0009GL000143
Carbamate kinase (EC: 2.7.2.2) - 1a	AC5u0009GL000143
Carbamate kinase (EC: 2.7.2.2) - 1b	AC5u0009GL000143
Cardiolipin Synthase (LRE specific)	AC5u0009GL000414
Cardiolipin Synthase (LRE specific)	AC5u0009GL000415
Cardiolipin Synthase (LRE specific)	AC5u0009GL002046
Cob(I)yrinate a,c diamide <=>  Adenosyl cobyrinate a,c diamide	AC5u0009GL001903
Cob(I)yrinate a,c diamide <=>  Adenosyl cobyrinate a,c diamide	AC5u0009GL001915
Cob(II)yrinate a,c diamide <=> Cob(I)yrinate a,c diamide	AC5u0009GL001904
Cobalt transport via ABC system	AC5u0009GL000316
Cobalt transport via ABC system	AC5u0009GL000317
Cobalt transport via ABC system	AC5u0009GL000318
Cobalt transport via ABC system	AC5u0009GL001885
Cobalt transport via ABC system	AC5u0009GL001886
Cobalt transport via ABC system	AC5u0009GL001887
Cobalt transport via ABC system	AC5u0009GL001888
Cobinamide adenyltransferase	AC5u0009GL001903
Cobinamide adenyltransferase	AC5u0009GL001915
Cobyrinic acid a,c-diamide synthase 	AC5u0009GL001901
Cobyrinic acid a,c-diamide synthase (EC 6.3.1.-)	AC5u0009GL001901
Copper export via ATPase	AC5u0009GL000138
Cystathionine beta synthase	AC5u0009GL001444
Cystathionine beta synthase	AC5u0009GL002043
Cysteine Desulfhydrase	AC5u0009GL000726
Cysteinyl-tRNA synthetase	AC5u0009GL000736
Cytidine hydrolase	AC5u0009GL001662
Cytidine hydrolase	AC5u0009GL001778
Cytosine deaminase	AC5u0009GL000758
Cytosine deaminase	AC5u0009GL000377
D-Alanine lipoteichoic acid ligase	AC5u0009GL000368
D-Alanine lipoteichoic acid ligase	AC5u0009GL000370
D-Alanine lipoteichoic acid ligase	AC5u0009GL000371
D-Alanine lipoteichoic acid ligase	AC5u0009GL000369
D-alanine transaminase	AC5u0009GL000116
D-alanine transport via proton symport	AC5u0009GL001042
D-alanine transport via proton symport	AC5u0009GL001664
D-alanine-D-lactate ligase (reversible)	AC5u0009GL000096
D-alanine:D-alanine ligase (ADP-forming)	AC5u0009GL000096
D-cysteine transport via ABC system	AC5u0009GL000165
D-cysteine transport via ABC system	AC5u0009GL000668
D-cysteine transport via ABC system	AC5u0009GL000727
D-cysteine transport via ABC system	AC5u0009GL000728
D-cysteine transport via ABC system	AC5u0009GL000729
D-cysteine transport via ABC system	AC5u0009GL001233
D-cysteine transport via ABC system	AC5u0009GL001666
D-cysteine transport via ABC system	AC5u0009GL001685
D-cysteine transport via ABC system	AC5u0009GL002128
D-fructose 1-phosphate phosphatase	AC5u0009GL002089
D-fructose 1-phosphate phosphatase	AC5u0009GL000581
D-fructose 1-phosphate phosphatase	AC5u0009GL000639
D-fructose 1-phosphate phosphatase	AC5u0009GL002157
D-fructose 6-phosphate phosphatase	AC5u0009GL002089
D-fructose 6-phosphate phosphatase	AC5u0009GL000581
D-fructose 6-phosphate phosphatase	AC5u0009GL001752
D-fructose 6-phosphate phosphatase	AC5u0009GL000639
D-fructose 6-phosphate phosphatase	AC5u0009GL002157
D-gluconate transport via proton symport, reversible	AC5u0009GL001364
D-gluconate transport via proton symport, reversible	AC5u0009GL001541
D-glucose transport in via proton symport	AC5u0009GL000151
D-glucose transport in via proton symport	AC5u0009GL000984
D-glucose transport in via proton symport	AC5u0009GL001518
D-lactate dehydrogenase	AC5u0009GL000202
D-lactate dehydrogenase	AC5u0009GL000420
D-lactate dehydrogenase	AC5u0009GL000955
D-lactate dehydrogenase	AC5u0009GL001632
D-mannitol dehydrogenase	AC5u0009GL001852
D-methionine transport via ABC system	AC5u0009GL000612
D-methionine transport via ABC system	AC5u0009GL000613
D-methionine transport via ABC system	AC5u0009GL000614
D-methionine transport via ABC system	AC5u0009GL000668
